CustomerID,CustomerName,Email,Date,Product,Quantity
1,Anthony Tucker,tjuarez@yahoo.com,2025-01-15,Milk,3
1,Anthony Tucker,tjuarez@yahoo.com,2025-03-01,Rice,1
1,Anthony Tucker,tjuarez@yahoo.com,2025-03-01,Cheese,1
1,Anthony Tucker,tjuarez@yahoo.com,2025-02-20,Apples,2
1,Anthony Tucker,tjuarez@yahoo.com,2025-02-20,Bread,1
1,Anthony Tucker,tjuarez@yahoo.com,2025-02-20,Milk,2
1,Anthony Tucker,tjuarez@yahoo.com,2025-02-20,Eggs,4
1,Anthony Tucker,tjuarez@yahoo.com,2025-02-20,Cereal,2
1,Anthony Tucker,tjuarez@yahoo.com,2025-01-12,Carrots,4
1,Anthony Tucker,tjuarez@yahoo.com,2025-01-12,Pasta,3
1,Anthony Tucker,tjuarez@yahoo.com,2025-01-12,Milk,3
1,Anthony Tucker,tjuarez@yahoo.com,2025-01-12,Juice,2
1,Anthony Tucker,tjuarez@yahoo.com,2025-04-10,Chicken,1
1,Anthony Tucker,tjuarez@yahoo.com,2025-04-10,Butter,4
1,Anthony Tucker,tjuarez@yahoo.com,2024-11-04,Beef,3
1,Anthony Tucker,tjuarez@yahoo.com,2025-01-17,Pasta,1
1,Anthony Tucker,tjuarez@yahoo.com,2025-01-17,Bread,3
1,Anthony Tucker,tjuarez@yahoo.com,2025-01-17,Bananas,3
1,Anthony Tucker,tjuarez@yahoo.com,2025-01-17,Butter,2
1,Anthony Tucker,tjuarez@yahoo.com,2025-01-17,Fish,1
1,Anthony Tucker,tjuarez@yahoo.com,2024-11-09,Rice,3
1,Anthony Tucker,tjuarez@yahoo.com,2024-11-09,Rice,1
1,Anthony Tucker,tjuarez@yahoo.com,2024-10-21,Pasta,3
1,Anthony Tucker,tjuarez@yahoo.com,2024-10-21,Bananas,3
1,Anthony Tucker,tjuarez@yahoo.com,2024-10-21,Beef,2
1,Anthony Tucker,tjuarez@yahoo.com,2024-10-21,Juice,3
1,Anthony Tucker,tjuarez@yahoo.com,2024-11-04,Eggs,4
1,Anthony Tucker,tjuarez@yahoo.com,2024-11-04,Juice,3
1,Anthony Tucker,tjuarez@yahoo.com,2024-11-04,Onions,2
1,Anthony Tucker,tjuarez@yahoo.com,2024-11-04,Rice,3
1,Anthony Tucker,tjuarez@yahoo.com,2024-11-04,Carrots,1
1,Anthony Tucker,tjuarez@yahoo.com,2024-11-04,Potatoes,2
1,Anthony Tucker,tjuarez@yahoo.com,2025-01-21,Chicken,4
1,Anthony Tucker,tjuarez@yahoo.com,2025-01-15,Eggs,2
1,Anthony Tucker,tjuarez@yahoo.com,2025-01-15,Cereal,4
1,Anthony Tucker,tjuarez@yahoo.com,2025-01-15,Chicken,4
1,Anthony Tucker,tjuarez@yahoo.com,2024-10-25,Bananas,3
1,Anthony Tucker,tjuarez@yahoo.com,2024-10-25,Cheese,4
1,Anthony Tucker,tjuarez@yahoo.com,2024-10-25,Pasta,4
1,Anthony Tucker,tjuarez@yahoo.com,2024-10-25,Carrots,3
1,Anthony Tucker,tjuarez@yahoo.com,2024-10-25,Rice,2
1,Anthony Tucker,tjuarez@yahoo.com,2024-10-25,Beef,2
1,Anthony Tucker,tjuarez@yahoo.com,2025-04-07,Oranges,2
1,Anthony Tucker,tjuarez@yahoo.com,2025-04-07,Eggs,4
1,Anthony Tucker,tjuarez@yahoo.com,2025-04-07,Bread,1
1,Anthony Tucker,tjuarez@yahoo.com,2025-04-07,Butter,4
1,Anthony Tucker,tjuarez@yahoo.com,2025-04-07,Cheese,4
2,Sean Grimes,rbonilla@curtis.info,2025-02-20,Potatoes,1
2,Sean Grimes,rbonilla@curtis.info,2025-02-20,Pasta,3
2,Sean Grimes,rbonilla@curtis.info,2025-02-20,Onions,3
2,Sean Grimes,rbonilla@curtis.info,2025-02-20,Milk,1
2,Sean Grimes,rbonilla@curtis.info,2025-02-18,Apples,1
2,Sean Grimes,rbonilla@curtis.info,2025-02-18,Juice,3
2,Sean Grimes,rbonilla@curtis.info,2025-02-18,Bananas,2
2,Sean Grimes,rbonilla@curtis.info,2024-11-27,Butter,3
2,Sean Grimes,rbonilla@curtis.info,2024-11-27,Tomato Sauce,2
2,Sean Grimes,rbonilla@curtis.info,2024-11-27,Potatoes,1
2,Sean Grimes,rbonilla@curtis.info,2024-11-27,Cereal,3
2,Sean Grimes,rbonilla@curtis.info,2024-11-27,Cheese,4
2,Sean Grimes,rbonilla@curtis.info,2025-01-31,Butter,3
2,Sean Grimes,rbonilla@curtis.info,2025-03-02,Rice,1
2,Sean Grimes,rbonilla@curtis.info,2025-03-02,Bread,1
2,Sean Grimes,rbonilla@curtis.info,2025-03-02,Snacks,4
2,Sean Grimes,rbonilla@curtis.info,2024-12-10,Onions,2
2,Sean Grimes,rbonilla@curtis.info,2025-03-07,Oranges,2
2,Sean Grimes,rbonilla@curtis.info,2025-03-07,Onions,3
2,Sean Grimes,rbonilla@curtis.info,2025-02-04,Snacks,4
2,Sean Grimes,rbonilla@curtis.info,2025-02-04,Apples,3
2,Sean Grimes,rbonilla@curtis.info,2025-02-04,Cereal,4
2,Sean Grimes,rbonilla@curtis.info,2025-02-04,Onions,4
2,Sean Grimes,rbonilla@curtis.info,2025-02-04,Tomato Sauce,1
2,Sean Grimes,rbonilla@curtis.info,2025-02-23,Rice,3
2,Sean Grimes,rbonilla@curtis.info,2025-02-23,Eggs,1
2,Sean Grimes,rbonilla@curtis.info,2024-11-28,Onions,1
2,Sean Grimes,rbonilla@curtis.info,2024-11-28,Rice,2
2,Sean Grimes,rbonilla@curtis.info,2024-11-28,Carrots,1
2,Sean Grimes,rbonilla@curtis.info,2024-11-28,Milk,1
2,Sean Grimes,rbonilla@curtis.info,2024-11-28,Eggs,3
2,Sean Grimes,rbonilla@curtis.info,2024-12-15,Potatoes,2
2,Sean Grimes,rbonilla@curtis.info,2025-03-29,Oranges,2
2,Sean Grimes,rbonilla@curtis.info,2025-03-29,Cereal,4
2,Sean Grimes,rbonilla@curtis.info,2025-03-29,Onions,2
2,Sean Grimes,rbonilla@curtis.info,2024-11-26,Apples,4
2,Sean Grimes,rbonilla@curtis.info,2024-11-26,Cereal,3
2,Sean Grimes,rbonilla@curtis.info,2024-11-26,Butter,4
2,Sean Grimes,rbonilla@curtis.info,2024-11-26,Onions,4
2,Sean Grimes,rbonilla@curtis.info,2025-03-26,Bread,3
2,Sean Grimes,rbonilla@curtis.info,2025-03-26,Butter,1
2,Sean Grimes,rbonilla@curtis.info,2025-03-26,Snacks,2
2,Sean Grimes,rbonilla@curtis.info,2025-03-26,Fish,2
3,Lori George,fitzpatricktony@gmail.com,2025-04-08,Bananas,4
3,Lori George,fitzpatricktony@gmail.com,2025-04-08,Cheese,2
3,Lori George,fitzpatricktony@gmail.com,2025-04-08,Apples,1
3,Lori George,fitzpatricktony@gmail.com,2025-04-08,Juice,4
3,Lori George,fitzpatricktony@gmail.com,2025-04-08,Pasta,1
3,Lori George,fitzpatricktony@gmail.com,2024-10-23,Onions,1
3,Lori George,fitzpatricktony@gmail.com,2025-02-27,Rice,2
3,Lori George,fitzpatricktony@gmail.com,2024-12-10,Oranges,1
3,Lori George,fitzpatricktony@gmail.com,2024-12-10,Snacks,2
3,Lori George,fitzpatricktony@gmail.com,2024-12-10,Cereal,4
3,Lori George,fitzpatricktony@gmail.com,2024-12-10,Fish,1
3,Lori George,fitzpatricktony@gmail.com,2025-04-19,Pasta,4
3,Lori George,fitzpatricktony@gmail.com,2025-04-19,Bananas,2
3,Lori George,fitzpatricktony@gmail.com,2025-04-19,Tomato Sauce,2
3,Lori George,fitzpatricktony@gmail.com,2025-04-19,Apples,3
3,Lori George,fitzpatricktony@gmail.com,2025-02-25,Bread,1
3,Lori George,fitzpatricktony@gmail.com,2025-02-25,Carrots,3
